WITTCASE NUMBER: HB001304
SAMPLE NUMBER:   8
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RFA     	  RFA'		  MPA     	  MPA'		
 80.33   	 -61.04		 46.88   	-208.54		
 80.08   	 -61.04		 46.04   	-203.46		
 79.84   	 -76.30		 45.23   	-183.11		
 79.53   	 -81.38		 44.50   	-172.94		
 79.21   	 -91.56		 43.80   	-152.59		
 78.84   	 -96.64		 43.19   	-137.33		
 78.45   	-111.90		 42.64   	-116.99		
 78.01   	-116.99		 42.18   	 -96.64		
 77.54   	-116.99		 41.79   	 -76.30		
 77.07   	-122.07		 41.49   	 -61.04		
 76.58   	-116.99		 41.24   	 -45.78		
 76.11   	-132.25		 41.06   	 -35.61		
 75.58   	-137.33		 40.92   	 -30.52		
 75.04   	-137.33		 40.79   	 -30.52		
 74.49   	-142.42		 40.67   	 -35.61		
 73.92   	-157.68		 40.53   	 -40.69		
 73.29   	-162.77		 40.37   	 -55.95		
 72.63   	-167.85		 40.14   	 -61.04		
 71.96   	-167.85		 39.90   	 -81.38		
 71.29   	-167.85		 39.57   	 -86.47		
 70.62   	-167.85		 39.23   	 -91.56		
