WITTCASE NUMBER: HA002439
SAMPLE NUMBER:   31
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  MPA     	  MPA'		  AO     	  AO'		
 36.58   	 -40.69		 75.46   	 -45.78		
 36.42   	 -35.61		 75.28   	 -50.86		
 36.28   	 -30.52		 75.08   	 -55.95		
 36.15   	 -30.52		 74.85   	 -45.78		
 36.03   	 -30.52		 74.67   	 -50.86		
 35.91   	 -25.43		 74.47   	 -40.69		
 35.81   	 -20.35		 74.30   	 -45.78		
 35.73   	 -20.35		 74.12   	 -40.69		
 35.65   	 -20.35		 73.96   	 -40.69		
 35.56   	 -20.35		 73.79   	 -40.69		
 35.48   	 -20.35		 73.63   	 -45.78		
 35.40   	 -10.17		 73.45   	 -45.78		
 35.36   	 -10.17		 73.27   	 -50.86		
 35.32   	  -5.09		 73.06   	 -50.86		
 35.30   	   0.00		 72.86   	 -45.78		
 35.30   	   5.09		 72.68   	 -45.78		
 35.32   	   0.00		 72.49   	 -45.78		
 35.32   	 -10.17		 72.31   	 -45.78		
 35.28   	 -10.17		 72.13   	 -40.69		
 35.24   	 -20.35		 71.96   	 -40.69		
 35.16   	 -25.43		 71.80   	 -40.69		
 35.06   	 -30.52		 71.64   	 -40.69		
 34.93   	 -40.69		 71.47   	 -40.69		
 34.77   	 -45.78		 71.31   	 -45.78		
 34.59   	 -40.69		 71.13   	 -45.78		
 34.43   	 -35.61		 70.95   	 -45.78		
 34.28   	 -30.52		 70.76   	 -45.78		
 34.16   	 -35.61		 70.58   	 -45.78		
 34.02   	 -30.52		 70.40   	 -35.61		
 33.90   	 -20.35		 70.25   	 -35.61		
 33.81   	 -15.26		 70.11   	 -35.61		
 33.75   	   5.09		 69.97   	 -35.61		
 33.77   	  20.35		 69.83   	 -35.61		
 33.86   	  61.04		 69.68   	 -40.69		
 34.10   	 122.07		 69.52   	 -45.78		
 34.59   	 183.11		 69.34   	 -50.86		
 35.32   	 167.85		 69.14   	 -55.95		
 35.99   	 106.82		 68.91   	 -45.78		
 36.42   	  55.95		 68.73   	 -45.78		
 36.64   	 -45.78		 68.55   	 -35.61		
 36.46   	-233.98		 68.40   	 -30.52		
