WITTCASE NUMBER: HB003014
SAMPLE NUMBER:   2
TIME RESOLUTION: 4 ms/sample
mmHg RESOLUTION: 0.0203458 mmHg/unit
DATA UNITS:      mmHg, mmHg/sec

------------------------- Begin Data -------------------------
  RV     	  RV'		  RFA     	  RFA'		
 49.44   	  30.52		 65.29   	 233.98		
 49.56   	  20.35		 66.23   	 239.06		
 49.64   	  15.26		 67.18   	 239.06		
 49.70   	  10.17		 68.14   	 239.06		
 49.75   	   5.09		 69.09   	 239.06		
 49.77(S)	   0.00		 70.05   	 233.98		
 49.77   	  -5.09		 70.99   	 218.72		
 49.75   	 -10.17		 71.86   	 208.54		
 49.70   	 -15.26		 72.70   	 198.37		
 49.64   	 -20.35		 73.49   	 178.03		
 49.56   	 -25.43		 74.20   	 162.77		
 49.46   	 -35.61		 74.85   	 147.51		
 49.32   	 -35.61		 75.44   	 137.33		
 49.18   	 -40.69		 75.99   	 122.07		
 49.01   	 -45.78		 76.48   	 111.90		
 48.83   	 -55.95		 76.93   	 101.73		
 48.61   	 -55.95		 77.33   	  91.56		
 48.38   	 -66.12		 77.70   	  86.47		
 48.12   	 -71.21		 78.05   	  71.21		
 47.83   	 -76.30		 78.33   	  61.04		
 47.53   	 -91.56		 78.58   	  50.86		
 47.16   	-106.82		 78.78   	  30.52		
 46.73   	-122.07		 78.90   	  15.26		
 46.25   	-142.42		 78.96(S)	   0.00		
 45.68   	-162.77		 78.96   	 -15.26		
 45.03   	-188.20		 78.90   	 -30.52		
 44.27   	-213.63		 78.78   	 -40.69		
 43.42   	-249.24		 78.62   	 -50.86		
 42.42   	-274.67		 78.41   	 -55.95		
 41.32   	-315.36		 78.19   	 -55.95		
